The Killing Fields,1984,7.8,"['Biography', 'Drama', 'History', 'War']","English, French, Central Khmer, Russian"
Against All Odds,1984,5.9,"['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']","English, Spanish"
Blood Simple,1984,7.5,"['Dark Comedy', 'Crime', 'Drama', 'Thriller']","English, Spanish"
Wheels on Meals,1984,7.0,"['Buddy Comedy', 'Martial Arts', 'Action', 'Comedy', 'Crime', 'Romance']","Cantonese, English"
Too Scared to Scream,1984,5.1,"['Slasher Horror', 'Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",English
Sohni Mahiwal,1984,6.1,"['Action', 'Drama', 'Romance']","Punjabi, Hindi"
Jumanji: The Next Level,2019,6.6,"['Body Swap Comedy', 'HighConcept Comedy', 'Action', 'Adventure', 'Comedy', 'Fantasy']",English
Good Boys,2019,6.7,"['ComingofAge', 'Raunchy Comedy', 'Adventure', 'Comedy']",English
Child's Play,2019,5.7,"['Cyber Thriller', 'Slasher Horror', 'Drama', 'Horror', 'SciFi', 'Thriller']","English, Vietnamese"
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,2019,7.8,"['Adult Animation', 'Anime', 'Isekai', 'Sword  Sorcery', 'Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",Japanese
Yellow Rose,2019,6.6,"['ComingofAge', 'Drama', 'Music']",English
Sound! Euphonium the Movie - Our Promise: A Brand New Day,2019,7.3,"['Anime', 'Animation', 'Drama', 'Music']",Japanese
QT8: The First Eight,2019,7.3,['Documentary'],English
Olympic Dreams,2019,5.8,"['Extreme Sport', 'Comedy', 'Romance', 'Sport']",English
Tremors,2019,6.6,['Drama'],Spanish
Draupadi Unleashed,2019,4.8,['Drama'],English
Cold Blood,2019,4.7,"['Action', 'Thriller']",English
Fast Food Nation,2006,6.3,"['Satire', 'Comedy', 'Drama']","English, Spanish"
Breaking and Entering,2006,6.5,"['Crime', 'Drama', 'Romance']","English, SerboCroatian"
The Call of Wild,2006,6.9,"['Documentary', 'Family']",English
Islander,2006,6.4,['Drama'],English
Bronco Bullfrog,1970,6.6,"['Comedy', 'Drama']",English
When Dinosaurs Ruled the Earth,1970,5.1,"['Dinosaur Adventure', 'Adventure', 'Fantasy', 'Romance', 'SciFi']","Aboriginal, English"
Hell Boats,1970,5.5,"['Drama', 'War']","English, Italian, German"
Cold Sweat,1970,5.7,"['Action', 'Crime', 'Drama', 'Thriller']","English, French"
The Pizza Triangle,1970,7.1,"['Farce', 'Slapstick', 'Tragic Romance', 'Comedy', 'Drama', 'Romance']",Italian
The Looking Glass War,1970,5.8,"['Spy', 'Action', 'Drama', 'Thriller']","English, German"
Even Dwarfs Started Small,1970,6.7,"['Dark Comedy', 'Comedy', 'Drama']",German
Skullduggery,1970,4.7,['Adventure'],English
Original Cast Album: Company,1970,8.0,"['Documentary', 'Music']",English
The Rise and Rise of Michael Rimmer,1970,6.9,"['Satire', 'Comedy']",English
Bedroom Mazurka,1970,4.8,['Comedy'],Danish
Wilbur and the Baby Factory,1970,4.3,['Comedy'],English
Super Troopers 2,2018,6.0,"['Comedy', 'Crime', 'Mystery']",English
Mia and the White Lion,2018,6.5,"['Animal Adventure', 'Adventure', 'Drama', 'Family']",English
Best F(r)iends Volume Two,2018,4.9,"['Comedy', 'Drama', 'Mystery', 'Thriller']",English
