Soldier of Orange,1977,7.6,"['Drama', 'Romance', 'Thriller', 'War']","Dutch, English, German","Rutger Hauer, Jeroen Krabb, Susan Penhaligon",Paul Verhoeven
Amar Akbar Anthony,1977,7.4,"['Action', 'Comedy', 'Drama', 'Music']",Hindi,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan",Manmohan Desai
"Messalina, Messalina",1977,4.0,"['Parody', 'Adventure', 'Comedy']",Italian,"Anneka Di Lorenzo, Vittorio Caprioli, Giancarlo Prete",Bruno Corbucci
Beast with a Gun,1977,5.9,"['Action', 'Crime', 'Drama', 'Thriller']",Italian,"Helmut Berger, Marisa Mell, Richard Harrison",Sergio Grieco
Porno Nights of the World,1977,4.0,['Documentary'],"Italian, English","Laura Gemser, Marina Hedman, Fernando Arcangeli","Bruno Mattei, Joe DAmato"
Charleston,1977,5.5,['Comedy'],Italian,"Bud Spencer, Herbert Lom, Jack La Cayenne",Marcello Fondato
Double Nickels,1977,5.0,"['Police Procedural', 'Action', 'Comedy', 'Crime']",English,"Jack Vacek, Trice Schubert, Edward Abrahms",Jack Vacek
The Professionals,1966,7.3,"['Action', 'Adventure', 'Drama', 'Western']","English, Spanish","Burt Lancaster, Lee Marvin, Robert Ryan",Richard Brooks
Duel at Diablo,1966,6.5,"['Classical Western', 'Drama', 'Thriller', 'Western']",English,"James Garner, Sidney Poitier, Bibi Andersson",Ralph Nelson
Return of the Seven,1966,5.5,"['Action', 'Drama', 'Western']","English, Spanish, Greek, Ancient to 1453, Latin","Yul Brynner, Robert Fuller, Julin Mateos",Burt Kennedy
The Ghost in the Invisible Bikini,1966,4.6,"['Comedy', 'Horror', 'Musical']",English,"Tommy Kirk, Deborah Walley, Aron Kincaid",Don Weis
Made in Paris,1966,5.4,"['Romantic Comedy', 'Comedy', 'Romance']","English, French","AnnMargret, Louis Jourdan, Richard Crenna",Boris Sagal
The Daydreamer,1966,6.1,"['Fairy Tale', 'Stop Motion Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']",English,"Tallulah Bankhead, Victor Borge, Patty Duke",Jules Bass
Come imparai ad amare le donne,1966,5.3,['Comedy'],Italian,"Michle Mercier, Nadja Tiller, Elsa Martinelli",Luciano Salce
The Round-Up,1966,7.5,"['Drama', 'History', 'War', 'Western']",Hungarian,"Jnos Grbe, Zoltn Latinovits, Tibor Molnr",Mikls Jancs
War Between the Planets,1966,4.1,['SciFi'],Italian,"Giacomo Rossi Stuart, Ombretta Colli, Enzo Fiermonte",Antonio Margheriti
Secret Agent Super Dragon,1966,2.6,"['Mystery', 'Thriller']",Italian,"Ray Danton, Margaret Lee, Carlo DAngelo",Giorgio Ferroni
As Long as You've Got Your Health,1966,7.1,"['Satire', 'Comedy']",French,"Pierre taix, Denise Pronne, Simone Fonder",Pierre taix
An Eye for an Eye,1966,6.1,['Western'],English,"Robert Lansing, Patrick Wayne, Slim Pickens",Michael D Moore
Abschied von gestern - (Anita G.),1966,6.9,['Drama'],German,"Alexandra Kluge, Gnter Mack, Eva Maria Meineke",Alexander Kluge
O papatrehas,1966,7.9,['Comedy'],Greek,"Thanasis Vengos, Souli Sabah, Iro Kyriakaki",Errikos Thalassinos
Jesse James Meets Frankenstein's Daughter,1966,3.4,"['Horror', 'SciFi', 'Western']","English, German","John Lupton, Narda Onyx, Cal Bolder",William Beaudine
Krybskytterne på Næsbygård,1966,5.5,"['Drama', 'Family']",Danish,"Asbjrn Andersen, Holger Juul Hansen, Inger Stender","Ib Mossin, Alice OFredericks"
Wake Up and Die,1966,6.2,"['Crime', 'Drama']",Italian,"Robert Hoffmann, Lisa Gastoni, Gian Maria Volont",Carlo Lizzani
Der lachende Mann - Bekenntnisse eines Mörders,1966,7.1,"['Documentary', 'War']",German,Siegfried Mller,"Walter Heynowski, Gerhard Scheumann"
Movie Madness,1982,3.2,"['Parody', 'Comedy']",English,"Peter Riegert, Diane Lane, Candy Clark","Bob Giraldi, Henry Jaglom"
Love Strange Love,1982,5.8,['Drama'],Portuguese,"Vera Fischer, Tarcsio Meira, Xuxa",Walter Hugo Khouri
Moj tata na odredjeno vreme,1982,7.1,['Comedy'],SerboCroatian,"Ljubisa Samardzic, Milena Dravic, Boris Dvornik",Milan Jelic
Harry Tracy: The Last of the Wild Bunch,1982,6.1,"['Drama', 'Western']",English,"Bruce Dern, Helen Shaver, Michael C Gwynne",William A Graham
Held,2020,5.3,"['Horror', 'Mystery', 'Thriller']",English,"Jill Awbrey, Bart Johnson, Travis Cluff","Travis Cluff, Chris Lofing"
MLK/FBI,2020,7.0,"['History Documentary', 'Biography', 'Documentary', 'History']",English,"Shaun Bowman, Martin Luther King, J Edgar Hoover",Sam Pollard
Minyan,2020,6.5,['Drama'],"English, Hebrew, Yiddish, Russian","Samuel H Levine, Ron Rifkin, Christopher McCann",Eric Steel
The Old Guard,2020,6.7,"['Globetrotting Adventure', 'Superhero', 'Action', 'Thriller']","English, Arabic, French, Italian","Charlize Theron, KiKi Layne, Matthias Schoenaerts",Gina PrinceBythewood
Run,2020,6.7,"['Psychological Thriller', 'Suspense Mystery', 'Drama', 'Horror', 'Mystery', 'Thriller']",English,"Sarah Paulson, Kiera Allen, Sara Sohn",Aneesh Chaganty
The Very Excellent Mr. Dundee,2020,5.0,['Comedy'],English,"Paul Hogan, Dorothy Adams, Trudy Ager",Dean Murphy
Palm Swings,2020,4.4,"['Comedy', 'Drama', 'Romance']",English,"Tia Carrere, Diane Farr, Jason Lewis",Sean Hoessli
#Alive,2020,6.3,"['Zombie Horror', 'Action', 'Drama', 'Horror', 'Thriller']",Korean,"Yoo Ahin, Park Shinhye, Jeon Baesoo","Il Cho, Jo Il Hyung"
Butchers,2020,4.6,"['Slasher Horror', 'Horror', 'Thriller']",English,"Simon Phillips, Michael Swatton, Julie Mainville",Adrian Langley
The Sleepover,2020,5.7,"['Action', 'Adventure', 'Comedy', 'Family']",English,"Sadie Stanley, Maxwell Simkins, Cree",Trish Sie
A Whisker Away,2020,6.7,"['Anime', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Romance']",Japanese,"Mirai Shida, Natsuki Hanae, Minako Kotobuki","Junichi Sat, Tomotaka Shibayama"
Original Gangster,2020,5.0,['Crime'],English,"Steve Guttenberg, Ian Reddington, Vas Blackwood",Savvas D Michael
