title,year,rating_imdb,genre,language
Strip Nude for Your Killer,1975,5.6,"['Erotic Thriller', 'Giallo', 'Slasher Horror', 'Horror', 'Mystery', 'Thriller']",Italian
Carry on Behind,1975,5.6,"['Parody', 'Slapstick', 'Comedy']",English
"So Young, So Lovely, So Vicious...",1975,4.9,"['Drama', 'Mystery', 'Thriller']",Italian
Mahogany,1975,6.1,"['Drama', 'Romance']","English, Italian"
Foreplay,1975,4.0,"['Parody', 'Satire', 'Sketch Comedy', 'Comedy']",English
The Man from Hong Kong,1975,6.6,"['Action', 'Adventure', 'Crime', 'Drama']","English, Mandarin"
Night of the Seagulls,1975,5.7,['Horror'],Spanish
The Olsen Gang on the Track,1975,7.2,"['Comedy', 'Crime', 'Family']",Danish
A Woman Called Sada Abe,1975,6.1,"['Biography', 'Drama']",Japanese
Zinda Dil,1975,6.9,"['Action', 'Romance']",Hindi
Disciples of Shaolin,1975,6.6,"['Martial Arts', 'Action', 'Drama']",Mandarin
"Oh, God!",1977,6.6,"['Comedy', 'Fantasy']","English, Spanish"
Heroes,1977,6.0,"['Psychological Drama', 'Comedy', 'Drama']","English, Spanish"
"Race for Your Life, Charlie Brown",1977,7.2,"['HandDrawn Animation', 'Quest', 'Adventure', 'Animation', 'Comedy', 'Family']",English
Short Eyes,1977,7.0,['Drama'],English
Soldier of Orange,1977,7.6,"['Drama', 'Romance', 'Thriller', 'War']","Dutch, English, German"
Amar Akbar Anthony,1977,7.4,"['Action', 'Comedy', 'Drama', 'Music']",Hindi
"Messalina, Messalina",1977,4.0,"['Parody', 'Adventure', 'Comedy']",Italian
Beast with a Gun,1977,5.9,"['Action', 'Crime', 'Drama', 'Thriller']",Italian
Porno Nights of the World,1977,4.0,['Documentary'],"Italian, English"
Charleston,1977,5.5,['Comedy'],Italian
Double Nickels,1977,5.0,"['Police Procedural', 'Action', 'Comedy', 'Crime']",English
The Professionals,1966,7.3,"['Action', 'Adventure', 'Drama', 'Western']","English, Spanish"
Duel at Diablo,1966,6.5,"['Classical Western', 'Drama', 'Thriller', 'Western']",English
Return of the Seven,1966,5.5,"['Action', 'Drama', 'Western']","English, Spanish, Greek, Ancient to 1453, Latin"
The Ghost in the Invisible Bikini,1966,4.6,"['Comedy', 'Horror', 'Musical']",English
Made in Paris,1966,5.4,"['Romantic Comedy', 'Comedy', 'Romance']","English, French"
The Daydreamer,1966,6.1,"['Fairy Tale', 'Stop Motion Animation', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Musical']",English
Come imparai ad amare le donne,1966,5.3,['Comedy'],Italian
The Round-Up,1966,7.5,"['Drama', 'History', 'War', 'Western']",Hungarian
War Between the Planets,1966,4.1,['SciFi'],Italian
Secret Agent Super Dragon,1966,2.6,"['Mystery', 'Thriller']",Italian
As Long as You've Got Your Health,1966,7.1,"['Satire', 'Comedy']",French
An Eye for an Eye,1966,6.1,['Western'],English
Abschied von gestern - (Anita G.),1966,6.9,['Drama'],German
O papatrehas,1966,7.9,['Comedy'],Greek
Jesse James Meets Frankenstein's Daughter,1966,3.4,"['Horror', 'SciFi', 'Western']","English, German"
Krybskytterne på Næsbygård,1966,5.5,"['Drama', 'Family']",Danish
Wake Up and Die,1966,6.2,"['Crime', 'Drama']",Italian
Der lachende Mann - Bekenntnisse eines Mörders,1966,7.1,"['Documentary', 'War']",German
Movie Madness,1982,3.2,"['Parody', 'Comedy']",English
Love Strange Love,1982,5.8,['Drama'],Portuguese
Moj tata na odredjeno vreme,1982,7.1,['Comedy'],SerboCroatian
Harry Tracy: The Last of the Wild Bunch,1982,6.1,"['Drama', 'Western']",English
Held,2020,5.3,"['Horror', 'Mystery', 'Thriller']",English
MLK/FBI,2020,7.0,"['History Documentary', 'Biography', 'Documentary', 'History']",English
Minyan,2020,6.5,['Drama'],"English, Hebrew, Yiddish, Russian"
The Old Guard,2020,6.7,"['Globetrotting Adventure', 'Superhero', 'Action', 'Thriller']","English, Arabic, French, Italian"
Run,2020,6.7,"['Psychological Thriller', 'Suspense Mystery', 'Drama', 'Horror', 'Mystery', 'Thriller']",English
The Very Excellent Mr. Dundee,2020,5.0,['Comedy'],English
Palm Swings,2020,4.4,"['Comedy', 'Drama', 'Romance']",English
#Alive,2020,6.3,"['Zombie Horror', 'Action', 'Drama', 'Horror', 'Thriller']",Korean
Butchers,2020,4.6,"['Slasher Horror', 'Horror', 'Thriller']",English
The Sleepover,2020,5.7,"['Action', 'Adventure', 'Comedy', 'Family']",English
A Whisker Away,2020,6.7,"['Anime', 'Adventure', 'Animation', 'Drama', 'Family', 'Fantasy', 'Romance']",Japanese
